"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.5098,0.3909,21,0.0245,18,0.3909,6,0.0944
2,"High",233086,0.974,0.9353,5,0.0035,5,0.0352,3,0.9353
3,"Normal",15594,0.9942,0.5111,NA,NA,1,0.5111,1,0.4831
4,"Normal",87299,0.9982,0.9008,2,0.0973,1,0.9008,NA,NA
5,"High",332783,0.8272,0.8272,NA,NA,NA,NA,2,0.8272
6,"Normal",485146,0.9032,0.6096,2,0.2936,2,0.6096,NA,NA
7,"Normal",1329984,0.9768,0.9092,NA,NA,1,0.9092,3,0.0676
8,"Normal",1743114,0.0754,0.0644,1,0.011,4,0.0644,NA,NA
9,"Normal",26986,0.6477,0.3312,NA,NA,4,0.3312,4,0.3165
10,"Normal",150151,0.9818,0.9758,NA,NA,1,0.9758,1,0.006
11,"Normal",177601,0.8839,0.8839,NA,NA,3,0.8839,NA,NA
12,"High",190635,0.8012,0.7688,NA,NA,5,0.0324,4,0.7688
13,"Normal",107612,0.9429,0.9429,NA,NA,3,0.9429,NA,NA
14,"High",360873,0.9607,0.8407,NA,NA,5,0.12,3,0.8407
15,"Normal",313412,0.9221,0.9221,NA,NA,1,0.9221,NA,NA
16,"Low",933312,0.1453,0.075,1,0.075,1,0.0703,NA,NA
17,"Normal",691609,0.372,0.2347,NA,NA,5,0.2347,4,0.1373
18,"Normal",938210,0.1157,0.077,NA,NA,5,0.077,1,0.0387
19,"Normal",316976,0.3438,0.312,6,0.0034,86,0.312,4,0.0284
20,"Normal",146352,0.8931,0.8931,NA,NA,10,0.8931,NA,NA
21,"Normal",118334,0.5201,0.3276,2,0.1925,36,0.3276,NA,NA
22,"Normal",368183,0.226,0.226,NA,NA,15,0.226,NA,NA
23,"Normal",41762,0.5236,0.5236,NA,NA,18,0.5236,NA,NA
24,"Normal",120105,0.2295,0.222,NA,NA,33,0.222,2,0.0075
25,"High",372411,0.3846,0.2484,2,0.0057,44,0.1305,1,0.2484
