"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.5016,0.4513,1,0,41,0.4513,2,0.0502
2,"Normal",233086,0.974,0.9738,NA,NA,12,0.9738,1,2e-04
3,"Normal",15594,0.9942,0.9942,NA,NA,2,0.9942,NA,NA
4,"Normal",87299,0.9982,0.9982,NA,NA,3,0.9982,NA,NA
5,"High",332783,0.7907,0.7907,NA,NA,NA,NA,1,0.7907
6,"Normal",485146,0.9331,0.6395,1,0.2733,7,0.6395,1,0.0203
7,"Normal",1329984,0.9768,0.9623,NA,NA,2,0.9623,2,0.0145
8,"Normal",1743114,0.0754,0.0658,NA,NA,4,0.0658,1,0.0096
9,"Normal",26986,0.6688,0.6079,NA,NA,7,0.6079,2,0.0609
10,"Normal",150151,0.9818,0.9758,NA,NA,1,0.9758,1,0.006
11,"Normal",177601,0.8839,0.8839,NA,NA,4,0.8839,NA,NA
12,"Normal",190635,0.0672,0.0597,NA,NA,5,0.0597,1,0.0074
13,"Normal",107612,0.9429,0.908,NA,NA,2,0.908,1,0.0348
14,"Normal",360873,0.9607,0.9033,NA,NA,6,0.9033,2,0.0573
15,"Normal",313412,0.9281,0.9221,NA,NA,1,0.9221,1,0.006
16,"Normal",933312,0.3183,0.3183,NA,NA,4,0.3183,NA,NA
17,"Normal",691609,0.364,0.3578,NA,NA,7,0.3578,1,0.0061
18,"Normal",938210,0.092,0.092,NA,NA,5,0.092,NA,NA
19,"Normal",316976,0.3265,0.2752,13,0.027,72,0.2752,9,0.0243
20,"Normal",146352,0.8931,0.8931,NA,NA,10,0.8931,NA,NA
21,"Normal",118334,0.5201,0.3319,1,0.0022,37,0.3319,1,0.1859
22,"Normal",368183,0.2298,0.2175,NA,NA,16,0.2175,1,0.0123
23,"Normal",41762,0.5236,0.5236,NA,NA,18,0.5236,NA,NA
24,"Normal",120105,0.2295,0.2295,NA,NA,37,0.2295,NA,NA
25,"Normal",372411,0.3676,0.3369,1,0.0015,50,0.3369,3,0.0293
