"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.5098,0.4428,5,0.0064,37,0.4428,3,0.0605
2,"Normal",233086,0.973,0.9687,1,0.0033,10,0.9687,1,0.001
3,"High",15594,0.9942,0.5111,NA,NA,1,0.4831,1,0.5111
4,"Normal",87299,0.9982,0.9982,NA,NA,3,0.9982,NA,NA
5,"Normal",332783,0.8272,0.7907,NA,NA,1,0.7907,1,0.0365
6,"Normal",485146,0.9032,0.6096,1,0.0203,2,0.6096,1,0.2733
7,"Normal",1329984,0.9768,0.9092,NA,NA,1,0.9092,3,0.0676
8,"Normal",1743114,0.0649,0.0539,1,0.011,1,0.0539,NA,NA
9,"Normal",26986,0.6477,0.6205,NA,NA,7,0.6205,1,0.0272
10,"Normal",150151,0.9818,0.9758,NA,NA,1,0.9758,1,0.006
11,"Normal",177601,0.8839,0.8839,NA,NA,3,0.8839,NA,NA
12,"Normal",190635,0.8012,0.8012,NA,NA,9,0.8012,NA,NA
13,"Normal",107612,0.9429,0.908,NA,NA,2,0.908,1,0.0348
14,"High",360873,0.9607,0.8869,NA,NA,5,0.0737,3,0.8869
15,"High",313412,0.9281,0.9221,NA,NA,1,0.006,1,0.9221
16,"High",933312,0.2433,0.1918,NA,NA,1,0.0515,2,0.1918
17,"High",691609,0.372,0.3108,1,0.0068,3,0.0544,5,0.3108
18,"Normal",938210,0.0379,0.0379,NA,NA,2,0.0379,NA,NA
19,"Normal",316976,0.3289,0.1728,NA,NA,60,0.1728,33,0.1561
20,"High",146352,0.8463,0.7524,NA,NA,4,0.094,5,0.7524
21,"Normal",118334,0.5201,0.5091,1,0.0067,35,0.5091,2,0.0042
22,"Normal",368183,0.114,0.1098,NA,NA,11,0.1098,1,0.0043
23,"Normal",41762,0.5236,0.5152,1,0.0084,17,0.5152,NA,NA
24,"Normal",120105,0.2295,0.226,4,0.0035,31,0.226,NA,NA
25,"Normal",372411,0.1362,0.1069,NA,NA,45,0.1069,1,0.0293
