"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.501,0.4983,NA,NA,41,0.4983,2,0.0027
2,"Normal",233086,0.9742,0.972,NA,NA,11,0.972,3,0.0022
3,"Normal",15594,0.9942,0.9942,NA,NA,2,0.9942,NA,NA
4,"Low",87299,0.9982,0.9008,1,0.9008,2,0.0973,NA,NA
5,"Normal",332783,0.8272,0.7907,NA,NA,1,0.7907,1,0.0365
6,"Low",485146,0.9331,0.6039,1,0.6039,8,0.3291,NA,NA
7,"High",1329984,0.9768,0.9238,NA,NA,1,0.0531,3,0.9238
8,"Normal",1743114,0.0851,0.0851,NA,NA,6,0.0851,NA,NA
9,"High",26986,0.6688,0.5557,NA,NA,4,0.1131,5,0.5557
10,"Normal",150151,0.9818,0.9758,NA,NA,1,0.9758,1,0.006
11,"Normal",177601,0.8839,0.8835,NA,NA,2,0.8835,2,4e-04
12,"High",190635,0.8012,0.7755,NA,NA,2,0.0257,7,0.7755
13,"Normal",107612,0.9429,0.8998,NA,NA,1,0.8998,2,0.0431
14,"High",360873,0.9607,0.8624,NA,NA,3,0.0983,5,0.8624
15,"High",313412,0.9281,0.9281,NA,NA,NA,NA,2,0.9281
16,"Normal",933312,0.2668,0.2668,NA,NA,3,0.2668,NA,NA
17,"Normal",691609,0.372,0.3507,1,0.008,7,0.3507,1,0.0133
18,"Normal",938210,0.0817,0.0688,NA,NA,3,0.0688,2,0.0129
19,"Normal",316976,0.3323,0.2066,10,0.1189,82,0.2066,2,0.0068
20,"Normal",146352,0.8931,0.7453,4,0.1477,6,0.7453,NA,NA
21,"Normal",118334,0.5201,0.3864,8,0.1052,26,0.3864,4,0.0284
22,"Normal",368183,0.2036,0.169,NA,NA,12,0.169,4,0.0345
23,"Normal",41762,0.5236,0.5236,NA,NA,18,0.5236,NA,NA
24,"Normal",120105,0.2233,0.2029,1,0.014,31,0.2029,3,0.0064
25,"Normal",372411,0.3676,0.3096,1,0,46,0.3096,7,0.058
