"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.5009,0.4322,2,0.0014,38,0.4322,4,0.0672
2,"Normal",233086,0.9742,0.9691,3,0.0051,11,0.9691,NA,NA
3,"Normal",15594,0.9942,0.9942,NA,NA,2,0.9942,NA,NA
4,"Normal",87299,0.9982,0.9982,NA,NA,3,0.9982,NA,NA
5,"Normal",332783,0.8272,0.8272,NA,NA,2,0.8272,NA,NA
6,"Normal",485146,0.9331,0.6511,NA,NA,6,0.6511,3,0.2819
7,"Normal",1329984,0.9768,0.9768,NA,NA,4,0.9768,NA,NA
8,"Normal",1743114,0.0851,0.0851,NA,NA,6,0.0851,NA,NA
9,"Normal",26986,0.6688,0.6688,NA,NA,9,0.6688,NA,NA
10,"High",150151,0.9818,0.9758,NA,NA,1,0.006,1,0.9758
11,"High",177601,0.8839,0.8815,NA,NA,3,0.0024,1,0.8815
12,"High",190635,0.8012,0.7507,NA,NA,3,0.0505,6,0.7507
13,"High",107612,0.9429,0.9346,NA,NA,1,0.0083,2,0.9346
14,"High",360873,0.9607,0.9094,NA,NA,1,0.0513,7,0.9094
15,"High",313412,0.9281,0.9281,NA,NA,NA,NA,2,0.9281
16,"Normal",933312,0.3183,0.1629,NA,NA,1,0.1629,3,0.1555
17,"Normal",691609,0.372,0.2768,NA,NA,6,0.2768,3,0.0952
18,"Normal",938210,0.0365,0.0326,1,0.0039,2,0.0326,NA,NA
19,"Normal",316976,0.3312,0.2098,13,0.1214,83,0.2098,NA,NA
20,"Normal",146352,0.8931,0.8754,1,0.0177,9,0.8754,NA,NA
21,"Normal",118334,0.5022,0.5022,NA,NA,36,0.5022,NA,NA
22,"Normal",368183,0.2124,0.1679,2,0.0445,13,0.1679,1,0
23,"Normal",41762,0.5236,0.4702,NA,NA,17,0.4702,1,0.0534
24,"Normal",120105,0.2259,0.2259,NA,NA,37,0.2259,NA,NA
25,"Normal",372411,0.3676,0.3473,NA,NA,53,0.3473,1,0.0203
