STATION_NUMBER,PEARSEDA,PERSEDA_CODE
10JB,Lower Mackenzie,7
10JC,Lower Mackenzie,7
10JD,Lower Mackenzie,7
10JE,Lower Mackenzie,7
10KA,Lower Mackenzie,7
10KB,Lower Mackenzie,7
10KC,Lower Mackenzie,7
10KD,Lower Mackenzie,7
10LA,Lower Mackenzie,7
10LB,Lower Mackenzie,7
10LC,Lower Mackenzie,7
10LD,Lower Mackenzie,7
10MA,Lower Mackenzie,7
10MB,Lower Mackenzie,7
10MC,Lower Mackenzie,7
10MD,Lower Mackenzie,7
10NA,Arctic Coast - Islands,8
10NB,Arctic Coast - Islands,8
10NC,Arctic Coast - Islands,8
10ND,Arctic Coast - Islands,8
10NE,Arctic Coast - Islands,8
10OA,Arctic Coast - Islands,8
10OB,Arctic Coast - Islands,8
10OC,Arctic Coast - Islands,8
10PA,Arctic Coast - Islands,8
10PB,Arctic Coast - Islands,8
10PC,Arctic Coast - Islands,8
10QA,Arctic Coast - Islands,8
10QB,Arctic Coast - Islands,8
10QC,Arctic Coast - Islands,8
10QD,Arctic Coast - Islands,8
10QE,Arctic Coast - Islands,8
10QF,Arctic Coast - Islands,8
10RA,Arctic Coast - Islands,8
10RB,Arctic Coast - Islands,8
10RC,Arctic Coast - Islands,8
10RD,Arctic Coast - Islands,8
10SA,Arctic Coast - Islands,8
10SB,Arctic Coast - Islands,8
10SC,Arctic Coast - Islands,8
10SD,Arctic Coast - Islands,8
10SE,Arctic Coast - Islands,8
10TA,Arctic Coast - Islands,8
10TB,Arctic Coast - Islands,8
10TC,Arctic Coast - Islands,8
10TD,Arctic Coast - Islands,8
10TE,Arctic Coast - Islands,8
10TF,Arctic Coast - Islands,8
10TH,Arctic Coast - Islands,8
10TJ,Arctic Coast - Islands,8
10TK,Arctic Coast - Islands,8
10TL,Arctic Coast - Islands,8
10TM,Arctic Coast - Islands,8
10TN,Arctic Coast - Islands,8
10UA,Arctic Coast - Islands,8
10UB,Arctic Coast - Islands,8
10UD,Arctic Coast - Islands,8
10UF,Arctic Coast - Islands,8
10UG,Arctic Coast - Islands,8
10UH,Arctic Coast - Islands,8
10VA,Arctic Coast - Islands,8
10VB,Arctic Coast - Islands,8
10VC,Arctic Coast - Islands,8
10VD,Arctic Coast - Islands,8
10VE,Arctic Coast - Islands,8
10VH,Arctic Coast - Islands,8
10VJ,Arctic Coast - Islands,8
10VK,Arctic Coast - Islands,8
10VL,Arctic Coast - Islands,8
10VM,Arctic Coast - Islands,8
11AA,Missouri,9
11AB,Missouri,9
11AC,Missouri,9
11AD,Missouri,9
11AE,Missouri,9
