Station,OriginalDrainageArea,HasShapefile,BorderStation,GoesOutsidePDA,FinalArea,Comments
05MC002,254,Yes,,No ,254,
05MC003,229,Yes,,No ,229,
05MD004,13000,Yes,,No ,13000,
05MD005,1970,Yes,,No ,1970,
05MD007,1320,Yes,,No ,1320,
05MD010,461,Yes,,No ,461,
05ME003,1100,Yes,,No ,1100,
05ME005,70.4,Yes,,No ,70.4,
05ME006,84200,Yes,,No ,84200,
05ME007,435,Yes,,No ,435,
05ME009,205,Yes,,No ,205,
05ME010,457,Yes,,No ,457,
05MF001,2610,Yes,,No ,2610,
05MF008,749,Yes,,No ,749,
05MF018,3888,Yes,,No ,3888,
05MG001,606,Yes,,No ,606,
05MG003,301,Yes,,No ,301,
05MG004,1170,Yes,,No ,1170,
05MH001,93800,Yes,,No ,93800,
05MH005,160000,Yes,Yes,No ,137531.29,
05MH006,644,Yes,,No ,644,
05MH007,382,Yes,,No ,382,
05MH008,276,Yes,,No ,276,
05MJ001,162000,Yes,Yes,,139058.39,
05MJ003,161000,Yes,Yes, ,138062.96,
05MJ004,556,Yes,,No ,556,
05NA003,3210,Yes,Yes,No,2699.4,
05NA004,1790,Yes,,No ,1790,
05NA005,528,Yes,,No ,528,
05NB001,4840,Yes,Yes,No ,2969.81,
05NB011,2650,Yes,,No ,2650,
05NB014,211,Yes,,No,211,
05NB018,240,Yes,,No ,240,
05NB021,1210,Yes,Yes,No ,62.41,
05NB027,4460,Yes,Yes,No ,2707.58,
05NB031,1831,Yes,,No ,1831,
05NB033,58.5,Yes,,No ,58.5,
05NB035,129,Yes,,No ,129,
05NB036,6200,Yes,,No ,6200,
05NB039,94.4,Yes,,No ,94.4,
05NB040,3890,Yes,,No ,3890,
05NB041,269,Yes,,No ,269,
05NC001,2310,Yes,,No ,2310,
05ND004,6050,Yes,,No ,6050,
05ND007,23100,Yes,Yes,No ,20052.74,
05ND010,4710,Yes,,No ,4710,
05ND011,175,Yes,,No ,175,
05NE003,2730,Yes,,No ,2730,
05NF001,49900,Yes,Yes,No ,26913.52,
05NF002,3220,Yes,Yes,No ,3203.75,
05NF006,748,Yes,,No,748,
05NF007,1150,Yes,,No,1150,
05NF008,741,Yes,,No ,741,
05NF010,348,Yes,,No ,348,
05NF012,43700,Yes,Yes,No ,20799.24,
05NG001,61100,Yes,Yes,No ,38135.68,
05NG003,4240,Yes,,No ,4240,
05NG007,5420,Yes,,No ,5420,
05NG010,1030,Yes,,No ,1030,
05NG012,530,Yes,,No ,530,
05NG019,460,Yes,,No ,460,
05NG020,998,Yes,,No ,998,
05NG021,59400,Yes,Yes,No ,36413.09,
05NG024,3900,Yes,,No ,3900,
05OA007,1520,Yes,Yes,No ,466.05,
05OA010,573,Yes,,No ,573,
05OB001,5330,Yes,Yes,No ,3850.15,
05OB007,7500,Yes,Yes,No ,4781.23,
05OB010,397,Yes,Yes,No ,108.23,
05OB016,975,Yes,Yes,No ,32.69,
05OB019,4990,Yes,Yes,No ,3513.42,
05OB021,263,Yes,Yes,No ,2.55,
05OB023,4480,Yes,Yes,No ,3002.25,
