"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.5098,0.4243,14,0.0352,29,0.4243,2,0.0502
2,"Normal",233086,0.974,0.972,NA,NA,11,0.972,2,0.002
3,"Normal",15594,0.9942,0.9942,NA,NA,2,0.9942,NA,NA
4,"Normal",87299,0.9982,0.9982,NA,NA,3,0.9982,NA,NA
5,"High",332783,0.8272,0.8272,NA,NA,NA,NA,2,0.8272
6,"Low",485146,0.9032,0.6243,2,0.6243,1,0.2733,1,0.0056
7,"Normal",1329984,0.9768,0.9764,NA,NA,3,0.9764,1,4e-04
8,"Low",1743114,0.0403,0.0306,3,0.0306,2,0.0097,NA,NA
9,"High",26986,0.6688,0.3958,NA,NA,4,0.273,5,0.3958
10,"Normal",150151,0.9818,0.9758,NA,NA,1,0.9758,1,0.006
11,"High",177601,0.8839,0.8835,NA,NA,1,4e-04,2,0.8835
12,"High",190635,0.8012,0.7891,NA,NA,3,0.0121,6,0.7891
13,"Normal",107612,0.9429,0.9429,NA,NA,3,0.9429,NA,NA
14,"High",360873,0.9607,0.9046,NA,NA,4,0.0561,4,0.9046
15,"High",313412,0.9281,0.9281,NA,NA,NA,NA,2,0.9281
16,"Normal",933312,0.0515,0.0515,NA,NA,1,0.0515,NA,NA
17,"Normal",691609,0.3198,0.2838,2,0.0183,6,0.2838,2,0.0177
18,"Normal",938210,0.1157,0.1157,NA,NA,6,0.1157,NA,NA
19,"High",316976,0.3436,0.1915,NA,NA,58,0.1521,37,0.1915
20,"High",146352,0.8931,0.7175,NA,NA,7,0.1755,3,0.7175
21,"Normal",118334,0.5201,0.5002,1,0.0144,36,0.5002,1,0.0055
22,"Normal",368183,0.226,0.1836,1,0.0424,14,0.1836,NA,NA
23,"Normal",41762,0.5236,0.3684,NA,NA,11,0.3684,7,0.1553
24,"Normal",120105,0.2295,0.2059,NA,NA,29,0.2059,7,0.0236
25,"High",372411,0.3846,0.2687,NA,NA,45,0.1158,2,0.2687
