"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.5009,0.4805,NA,NA,38,0.4805,7,0.0204
2,"Normal",233086,0.974,0.973,NA,NA,12,0.973,1,0.001
3,"Normal",15594,0.9942,0.9942,NA,NA,2,0.9942,NA,NA
4,"Normal",87299,0.9982,0.9982,NA,NA,3,0.9982,NA,NA
5,"Normal",332783,0.8272,0.7907,1,0.0365,1,0.7907,NA,NA
6,"Normal",485146,0.9331,0.9174,3,0.0157,6,0.9174,NA,NA
7,"Normal",1329984,0.9768,0.9764,1,4e-04,3,0.9764,NA,NA
8,"Low",1743114,0.0843,0.0649,2,0.0649,3,0.0194,NA,NA
9,"Normal",26986,0.6688,0.6688,NA,NA,9,0.6688,NA,NA
10,"Normal",150151,0.9818,0.9758,NA,NA,1,0.9758,1,0.006
11,"Normal",177601,0.8839,0.8815,NA,NA,2,0.8815,2,0.0024
12,"Normal",190635,0.8012,0.8012,NA,NA,9,0.8012,NA,NA
13,"Normal",107612,0.9429,0.9429,NA,NA,3,0.9429,NA,NA
14,"Normal",360873,0.9607,0.8273,NA,NA,1,0.8273,7,0.1333
15,"High",313412,0.9281,0.9221,NA,NA,1,0.006,1,0.9221
16,"Normal",933312,0.3183,0.2433,1,0.075,3,0.2433,NA,NA
17,"Normal",691609,0.372,0.3652,NA,NA,8,0.3652,1,0.0068
18,"Normal",938210,0.0276,0.0276,NA,NA,2,0.0276,NA,NA
19,"Normal",316976,0.3128,0.1881,36,0.111,57,0.1881,3,0.0137
20,"Low",146352,0.8693,0.6927,4,0.6927,6,0.1766,NA,NA
21,"Normal",118334,0.5111,0.4979,1,0.0133,36,0.4979,NA,NA
22,"Normal",368183,0.2304,0.2288,1,0.0015,15,0.2288,NA,NA
23,"Normal",41762,0.5236,0.5103,1,0.0133,17,0.5103,NA,NA
24,"Normal",120105,0.2249,0.2246,1,3e-04,35,0.2246,NA,NA
25,"Normal",372411,0.3676,0.3676,NA,NA,53,0.3676,1,0
