"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.4639,0.2603,5,0.1545,38,0.2603,1,0.0491
2,"Normal",233086,0.974,0.9391,1,0.0339,11,0.9391,1,0.001
3,"Normal",15594,0.9942,0.9942,NA,NA,2,0.9942,NA,NA
4,"Normal",87299,0.9982,0.9982,NA,NA,3,0.9982,NA,NA
5,"High",332783,0.6786,0.6786,NA,NA,NA,NA,7,0.6786
6,"Normal",485146,0.9032,0.8772,NA,NA,2,0.8772,2,0.0259
7,"Normal",1329984,0.9768,0.9623,NA,NA,2,0.9623,2,0.0145
8,"Low",1743114,0.0411,0.0306,3,0.0306,3,0.0105,NA,NA
9,"High",26986,0.6688,0.4332,NA,NA,3,0.2356,6,0.4332
10,"High",150151,0.9818,0.9818,NA,NA,NA,NA,2,0.9818
11,"High",177601,0.8839,0.8835,NA,NA,1,4e-04,2,0.8835
12,"High",190635,0.8012,0.7817,1,0.0034,3,0.0162,5,0.7817
13,"Normal",107612,0.9429,0.908,1,0.0348,2,0.908,NA,NA
14,"High",360873,0.9607,0.918,NA,NA,1,0.0427,7,0.918
15,"Normal",313412,0.9029,0.8783,1,0.0185,2,0.8783,1,0.006
16,"Low",933312,0.2433,0.1629,1,0.1629,2,0.0805,NA,NA
17,"Normal",691609,0.372,0.2558,3,0.0924,3,0.2558,3,0.0239
18,"High",938210,0.1092,0.1003,1,0.0089,NA,NA,4,0.1003
19,"Normal",316976,0.3434,0.2408,NA,NA,72,0.2408,22,0.1026
20,"Normal",146352,0.8931,0.8754,NA,NA,9,0.8754,1,0.0177
21,"Normal",118334,0.5201,0.5201,NA,NA,38,0.5201,NA,NA
22,"Normal",368183,0.2304,0.1484,NA,NA,14,0.1484,3,0.0819
23,"Normal",41762,0.5236,0.4675,NA,NA,16,0.4675,2,0.0562
24,"Normal",120105,0.2295,0.2228,2,7e-04,33,0.2228,1,0.006
25,"Normal",372411,0.3846,0.3714,2,2e-04,40,0.3714,5,0.013
