"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.5009,0.4901,1,0.0086,40,0.4901,3,0.0021
2,"Low",233086,0.9742,0.9312,2,0.9312,12,0.043,NA,NA
3,"Normal",15594,0.9942,0.9942,NA,NA,2,0.9942,NA,NA
4,"Normal",87299,0.9982,0.9982,NA,NA,3,0.9982,NA,NA
5,"Normal",332783,0.8272,0.8272,NA,NA,2,0.8272,NA,NA
6,"Low",485146,0.9331,0.6039,1,0.6039,8,0.3291,NA,NA
7,"Normal",1329984,0.9768,0.9233,NA,NA,2,0.9233,2,0.0535
8,"Normal",1743114,0.0851,0.0851,NA,NA,6,0.0851,NA,NA
9,"Normal",26986,0.6688,0.6688,NA,NA,9,0.6688,NA,NA
10,"Normal",150151,0.9818,0.9758,NA,NA,1,0.9758,1,0.006
11,"Normal",177601,0.8839,0.8819,NA,NA,3,0.8819,1,0.002
12,"Normal",190635,0.8012,0.7938,1,0.0074,8,0.7938,NA,NA
13,"Low",107612,0.9429,0.908,2,0.908,1,0.0348,NA,NA
14,"High",360873,0.9607,0.87,NA,NA,6,0.0907,2,0.87
15,"High",313412,0.9281,0.9221,NA,NA,1,0.006,1,0.9221
16,"High",933312,0.3183,0.3183,NA,NA,NA,NA,4,0.3183
17,"Normal",691609,0.3587,0.3195,2,0.0393,6,0.3195,NA,NA
18,"Normal",938210,0.0276,0.0276,NA,NA,2,0.0276,NA,NA
19,"Normal",316976,0.3106,0.2703,7,0.0335,82,0.2703,6,0.0068
20,"Normal",146352,0.8693,0.7889,NA,NA,6,0.7889,4,0.0804
21,"High",118334,0.5085,0.3247,NA,NA,25,0.1838,11,0.3247
22,"High",368183,0.1608,0.1012,NA,NA,8,0.0596,7,0.1012
23,"Normal",41762,0.5236,0.4904,NA,NA,16,0.4904,2,0.0332
24,"Normal",120105,0.212,0.212,NA,NA,36,0.212,NA,NA
25,"Normal",372411,0.3676,0.3372,1,0.0062,48,0.3372,5,0.0242
