"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.502,0.4558,6,0.0462,39,0.4558,NA,NA
2,"Low",233086,0.973,0.9343,2,0.9343,11,0.0386,NA,NA
3,"Low",15594,0.9942,0.9942,2,0.9942,NA,NA,NA,NA
4,"Low",87299,0.9982,0.9982,3,0.9982,NA,NA,NA,NA
5,"Normal",332783,0.8272,0.8272,NA,NA,2,0.8272,NA,NA
6,"Normal",485146,0.9331,0.6598,1,0.2733,8,0.6598,NA,NA
7,"Normal",1329984,0.9768,0.9764,NA,NA,3,0.9764,1,4e-04
8,"High",1743114,0.0754,0.0745,NA,NA,2,9e-04,3,0.0745
9,"Normal",26986,0.6688,0.4233,2,0.2455,7,0.4233,NA,NA
10,"Low",150151,0.9818,0.9758,1,0.9758,1,0.006,NA,NA
11,"Low",177601,0.8839,0.8815,1,0.8815,3,0.0024,NA,NA
12,"Normal",190635,0.0718,0.0718,NA,NA,8,0.0718,NA,NA
13,"Normal",107612,0.9429,0.908,NA,NA,2,0.908,1,0.0348
14,"High",360873,0.9563,0.8273,2,0.0121,4,0.1169,1,0.8273
15,"Normal",313412,0.9281,0.9281,NA,NA,2,0.9281,NA,NA
16,"Normal",933312,0.2668,0.2668,NA,NA,3,0.2668,NA,NA
17,"Normal",691609,0.2236,0.1842,3,0.0393,8,0.1842,NA,NA
18,"Low",938210,0.1157,0.0616,3,0.0616,3,0.0541,NA,NA
19,"Normal",316976,0.3265,0.2528,21,0.0693,71,0.2528,2,0.0044
20,"Low",146352,0.8931,0.6906,4,0.6906,6,0.2025,NA,NA
21,"Normal",118334,0.5068,0.2823,6,0.2244,32,0.2823,NA,NA
22,"Normal",368183,0.2304,0.218,1,0.0123,17,0.218,NA,NA
23,"Normal",41762,0.5236,0.3137,15,0.21,3,0.3137,NA,NA
24,"Low",120105,0.2259,0.1158,27,0.1158,10,0.1101,NA,NA
25,"Normal",372411,0.3676,0.3441,8,0.0235,46,0.3441,NA,NA
