"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.5012,0.4343,NA,NA,36,0.4343,5,0.0669
2,"Normal",233086,0.974,0.972,NA,NA,10,0.972,3,0.002
3,"Normal",15594,0.9942,0.9942,NA,NA,2,0.9942,NA,NA
4,"High",87299,0.9982,0.9982,NA,NA,NA,NA,3,0.9982
5,"Normal",332783,0.8272,0.7907,NA,NA,1,0.7907,1,0.0365
6,"Normal",485146,0.9331,0.9301,1,0.003,8,0.9301,NA,NA
7,"Normal",1329984,0.9768,0.9627,NA,NA,3,0.9627,1,0.0141
8,"High",1743114,0.0754,0.0649,NA,NA,3,0.0105,2,0.0649
9,"Normal",26986,0.6124,0.4194,NA,NA,6,0.4194,4,0.193
10,"Normal",150151,0.9818,0.9758,NA,NA,1,0.9758,1,0.006
11,"High",177601,0.8839,0.8835,NA,NA,1,4e-04,2,0.8835
12,"High",190635,0.8012,0.7294,2,0.0149,6,0.0568,1,0.7294
13,"Normal",107612,0.9429,0.8998,2,0.0431,1,0.8998,NA,NA
14,"Normal",360873,0.9607,0.87,NA,NA,2,0.87,6,0.0907
15,"Normal",313412,0.9281,0.9281,NA,NA,2,0.9281,NA,NA
16,"High",933312,0.3183,0.2433,NA,NA,1,0.075,3,0.2433
17,"Low",691609,0.372,0.2276,5,0.2276,4,0.1444,NA,NA
18,"Normal",938210,0.1157,0.1028,1,0.0089,4,0.1028,1,0.0039
19,"Low",316976,0.3431,0.2262,38,0.2262,57,0.1169,NA,NA
20,"Normal",146352,0.8931,0.773,4,0.1201,6,0.773,NA,NA
21,"Normal",118334,0.5201,0.4909,2,0.0292,36,0.4909,NA,NA
22,"Normal",368183,0.2304,0.1664,1,0,15,0.1664,2,0.0639
23,"Normal",41762,0.5236,0.5236,NA,NA,18,0.5236,NA,NA
24,"Normal",120105,0.2295,0.1529,7,0.0767,29,0.1529,NA,NA
25,"Normal",372411,0.3846,0.3273,1,0.0015,43,0.3273,3,0.0558
