"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.5098,0.2212,12,0.0874,25,0.2212,8,0.2011
2,"High",233086,0.974,0.9671,2,0.005,6,0.002,5,0.9671
3,"Normal",15594,0.9942,0.5111,NA,NA,1,0.5111,1,0.4831
4,"Normal",87299,0.9982,0.9942,NA,NA,2,0.9942,1,0.004
5,"Normal",332783,0.6786,0.4588,NA,NA,3,0.4588,4,0.2198
6,"Normal",485146,0.9032,0.9032,NA,NA,4,0.9032,NA,NA
7,"Normal",1329984,0.9768,0.9092,NA,NA,1,0.9092,3,0.0676
8,"Normal",1743114,0.0746,0.0635,NA,NA,3,0.0635,1,0.011
9,"Normal",26986,0.6477,0.3831,NA,NA,5,0.3831,3,0.2646
10,"High",150151,0.9818,0.9758,NA,NA,1,0.006,1,0.9758
11,"Normal",177601,0.8839,0.8839,NA,NA,3,0.8839,NA,NA
12,"High",190635,0.8012,0.7979,NA,NA,1,0.0034,8,0.7979
13,"High",107612,0.9429,0.9429,NA,NA,NA,NA,3,0.9429
14,"High",360873,0.9607,0.9003,NA,NA,3,0.0604,5,0.9003
15,"Normal",313412,0.9281,0.9281,NA,NA,2,0.9281,NA,NA
16,"High",933312,0.3183,0.2379,NA,NA,2,0.0805,2,0.2379
17,"Normal",691609,0.372,0.2186,NA,NA,4,0.2186,5,0.1534
18,"Normal",938210,0.1157,0.0705,NA,NA,4,0.0705,2,0.0452
19,"Low",316976,0.3295,0.1623,33,0.1623,56,0.1378,5,0.0294
20,"Normal",146352,0.8693,0.7261,1,0.026,7,0.7261,2,0.1171
21,"Normal",118334,0.5201,0.2553,2,0.189,32,0.2553,4,0.0757
22,"Normal",368183,0.208,0.1213,NA,NA,9,0.1213,5,0.0867
23,"Normal",41762,0.5236,0.4086,2,0.0616,15,0.4086,1,0.0534
24,"Normal",120105,0.2295,0.2026,6,0.0223,28,0.2026,1,0.0046
25,"Normal",372411,0.3846,0.3384,1,0.0169,45,0.3384,1,0.0293
