"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.502,0.4901,2,0.0119,43,0.4901,NA,NA
2,"Normal",233086,0.973,0.973,NA,NA,11,0.973,NA,NA
3,"Low",15594,0.9942,0.5111,1,0.5111,1,0.4831,NA,NA
4,"Normal",87299,0.9982,0.9942,1,0.004,2,0.9942,NA,NA
5,"Normal",332783,0.6786,0.5254,1,0.1533,6,0.5254,NA,NA
6,"Normal",485146,0.9331,0.9331,NA,NA,9,0.9331,NA,NA
7,"Low",1329984,0.9768,0.9623,2,0.9623,1,4e-04,1,0.0141
8,"Low",1743114,0.0851,0.0539,1,0.0539,5,0.0312,NA,NA
9,"Normal",26986,0.6688,0.5395,NA,NA,7,0.5395,2,0.1293
10,"Normal",150151,0.9818,0.9818,NA,NA,2,0.9818,NA,NA
11,"Low",177601,0.8839,0.8815,1,0.8815,3,0.0024,NA,NA
12,"Normal",190635,0.8012,0.769,NA,NA,7,0.769,2,0.0323
13,"Normal",107612,0.6716,0.5219,NA,NA,6,0.5219,5,0.1497
14,"Normal",360873,0.9563,0.9076,2,0.0487,5,0.9076,NA,NA
15,"Low",313412,0.9281,0.9221,1,0.9221,1,0.006,NA,NA
16,"Low",933312,0.3183,0.1629,1,0.1629,3,0.1555,NA,NA
17,"High",691609,0.372,0.3176,1,0.0133,2,0.0412,6,0.3176
18,"Normal",938210,0.0469,0.0379,NA,NA,2,0.0379,1,0.0089
19,"Normal",316976,0.3332,0.3201,NA,NA,96,0.3201,1,0.0131
20,"Normal",146352,0.8931,0.8227,NA,NA,9,0.8227,1,0.0704
21,"Normal",118334,0.5068,0.5068,NA,NA,38,0.5068,NA,NA
22,"Normal",368183,0.2298,0.2298,1,0,16,0.2298,NA,NA
23,"Normal",41762,0.5236,0.5177,2,0.0059,16,0.5177,NA,NA
24,"Normal",120105,0.2295,0.1632,8,0.0663,29,0.1632,NA,NA
25,"Normal",372411,0.3676,0.3447,5,0.023,49,0.3447,NA,NA
