"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.4645,0.4475,9,0.017,37,0.4475,NA,NA
2,"Normal",233086,0.974,0.9734,3,6e-04,10,0.9734,NA,NA
3,"Low",15594,0.9942,0.9942,2,0.9942,NA,NA,NA,NA
4,"Normal",87299,0.9982,0.9942,1,0.004,2,0.9942,NA,NA
5,"Low",332783,0.6786,0.4477,1,0.4477,1,0.0091,5,0.2218
6,"Normal",485146,0.9331,0.9304,NA,NA,8,0.9304,1,0.0027
7,"Normal",1329984,0.9768,0.9238,NA,NA,3,0.9238,1,0.0531
8,"Normal",1743114,0.0851,0.0741,1,0.011,5,0.0741,NA,NA
9,"Normal",26986,0.6688,0.6688,NA,NA,9,0.6688,NA,NA
10,"Low",150151,0.9818,0.9758,1,0.9758,1,0.006,NA,NA
11,"Normal",177601,0.8839,0.8839,NA,NA,4,0.8839,NA,NA
12,"Normal",190635,0.8012,0.8012,NA,NA,9,0.8012,NA,NA
13,"Low",107612,0.9429,0.908,2,0.908,1,0.0348,NA,NA
14,"Low",360873,0.9607,0.9533,6,0.9533,2,0.0073,NA,NA
15,"Low",313412,0.9281,0.9281,2,0.9281,NA,NA,NA,NA
16,"Normal",933312,0.3183,0.3183,NA,NA,4,0.3183,NA,NA
17,"Normal",691609,0.372,0.2276,4,0.1444,5,0.2276,NA,NA
18,"Normal",938210,0.092,0.0476,3,0.0444,2,0.0476,NA,NA
19,"Normal",316976,0.3332,0.2871,8,0.0366,85,0.2871,4,0.0096
20,"Normal",146352,0.8931,0.8136,2,0.0795,8,0.8136,NA,NA
21,"Normal",118334,0.4845,0.4085,8,0.076,29,0.4085,NA,NA
22,"Normal",368183,0.2304,0.2077,5,0.0226,13,0.2077,NA,NA
23,"Normal",41762,0.5236,0.5236,NA,NA,18,0.5236,NA,NA
24,"Normal",120105,0.2259,0.2259,NA,NA,37,0.2259,NA,NA
25,"Normal",372411,0.3676,0.3465,4,8e-04,48,0.3465,2,0.0203
