"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.502,0.4907,3,0.0113,42,0.4907,NA,NA
2,"Normal",233086,0.9742,0.9742,NA,NA,14,0.9742,NA,NA
3,"Normal",15594,0.9942,0.9942,NA,NA,2,0.9942,NA,NA
4,"Normal",87299,0.9982,0.9982,NA,NA,3,0.9982,NA,NA
5,"Normal",332783,0.8272,0.8272,NA,NA,2,0.8272,NA,NA
6,"Normal",485146,0.9331,0.6039,7,0.3168,1,0.6039,1,0.0123
7,"High",1329984,0.9768,0.9092,NA,NA,3,0.0676,1,0.9092
8,"Normal",1743114,0.0851,0.0851,NA,NA,6,0.0851,NA,NA
9,"High",26986,0.6688,0.4829,NA,NA,5,0.1859,4,0.4829
10,"Normal",150151,0.9818,0.9818,NA,NA,2,0.9818,NA,NA
11,"Low",177601,0.8839,0.8815,1,0.8815,3,0.0024,NA,NA
12,"Low",190635,0.8012,0.7294,1,0.7294,6,0.0284,2,0.0434
13,"Normal",107612,0.6633,0.6633,NA,NA,10,0.6633,NA,NA
14,"Normal",360873,0.9455,0.9455,NA,NA,6,0.9455,NA,NA
15,"Normal",313412,0.9281,0.9281,NA,NA,2,0.9281,NA,NA
16,"Normal",933312,0.2668,0.2668,NA,NA,3,0.2668,NA,NA
17,"Normal",691609,0.2236,0.1743,NA,NA,9,0.1743,2,0.0493
18,"Normal",938210,0.1157,0.1028,NA,NA,4,0.1028,2,0.0129
19,"Normal",316976,0.3174,0.2677,14,0.033,79,0.2677,1,0.0168
20,"Normal",146352,0.8931,0.8147,1,0.008,8,0.8147,1,0.0704
21,"Normal",118334,0.5068,0.4569,9,0.0499,29,0.4569,NA,NA
22,"Normal",368183,0.2124,0.1988,2,0.0136,15,0.1988,NA,NA
23,"Normal",41762,0.5236,0.2635,1,0.2601,17,0.2635,NA,NA
24,"Normal",120105,0.2259,0.2166,2,0.0093,35,0.2166,NA,NA
25,"Normal",372411,0.3676,0.3366,6,0.0107,46,0.3366,2,0.0203
