"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Low",329961,0.5076,0.3797,18,0.3797,21,0.0674,3,0.0605
2,"Normal",233086,0.9737,0.9727,NA,NA,10,0.9727,1,0.001
3,"High",15594,0.9942,0.5111,NA,NA,1,0.4831,1,0.5111
4,"Normal",87299,0.9982,0.9942,1,0.004,2,0.9942,NA,NA
5,"Normal",332783,0.5337,0.4654,NA,NA,4,0.4654,3,0.0683
6,"Normal",485146,0.9032,0.9032,NA,NA,4,0.9032,NA,NA
7,"Low",1329984,0.4099,0.2699,5,0.2699,7,0.14,NA,NA
8,"Normal",1743114,0.0745,0.0649,1,0.0096,2,0.0649,NA,NA
9,"Normal",26986,0.6688,0.6351,1,0.0337,8,0.6351,NA,NA
10,"Normal",150151,0.9818,0.9818,NA,NA,2,0.9818,NA,NA
11,"Normal",177601,0.8839,0.8839,NA,NA,3,0.8839,NA,NA
12,"Normal",190635,0.7946,0.7714,3,0.0232,6,0.7714,NA,NA
13,"Normal",107612,0.9429,0.9429,NA,NA,3,0.9429,NA,NA
14,"Normal",360873,0.9607,0.9003,1,0.0091,6,0.9003,1,0.0513
15,"High",313412,0.9281,0.9221,NA,NA,1,0.006,1,0.9221
16,"Low",933312,0.2894,0.2379,2,0.2379,1,0.0515,NA,NA
17,"Normal",691609,0.3587,0.3587,NA,NA,8,0.3587,NA,NA
18,"High",938210,0.0039,0.0039,NA,NA,NA,NA,1,0.0039
19,"Normal",316976,0.3289,0.3058,4,0.0182,86,0.3058,3,0.0049
20,"High",146352,0.8931,0.6915,NA,NA,8,0.2016,2,0.6915
21,"Normal",118334,0.5201,0.4876,4,0.0325,34,0.4876,NA,NA
22,"Normal",368183,0.114,0.0998,3,0.0112,8,0.0998,1,0.003
23,"Normal",41762,0.5236,0.4702,1,0.0534,17,0.4702,NA,NA
24,"Normal",120105,0.2295,0.1168,13,0.1127,22,0.1168,NA,NA
25,"Normal",372411,0.136,0.1205,NA,NA,39,0.1205,6,0.0155
