"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.5009,0.4705,NA,NA,30,0.4705,13,0.0304
2,"Normal",233086,0.973,0.967,NA,NA,7,0.967,5,0.0061
3,"Normal",15594,0.9942,0.9942,NA,NA,2,0.9942,NA,NA
4,"Normal",87299,0.9982,0.9982,NA,NA,3,0.9982,NA,NA
5,"Normal",332783,0.8272,0.8272,NA,NA,2,0.8272,NA,NA
6,"Low",485146,0.9331,0.6303,5,0.6303,4,0.3027,NA,NA
7,"Normal",1329984,0.9768,0.9627,NA,NA,3,0.9627,1,0.0141
8,"Normal",1743114,0.0411,0.0315,NA,NA,5,0.0315,1,0.0096
9,"High",26986,0.6623,0.6412,NA,NA,1,0.0211,7,0.6412
10,"Normal",150151,0.9818,0.9758,NA,NA,1,0.9758,1,0.006
11,"High",177601,0.8839,0.8839,NA,NA,1,0,3,0.8839
12,"High",190635,0.8012,0.7925,NA,NA,2,0.0087,7,0.7925
13,"Low",107612,0.9429,0.9346,2,0.9346,NA,NA,1,0.0083
14,"High",360873,0.9607,0.89,1,0.0513,3,0.0195,4,0.89
15,"Normal",313412,0.9281,0.9221,NA,NA,1,0.9221,1,0.006
16,"Normal",933312,0.2894,0.2144,NA,NA,2,0.2144,1,0.075
17,"Normal",691609,0.372,0.2925,3,0.0662,5,0.2925,1,0.0133
18,"Low",938210,0.0752,0.0476,2,0.0476,2,0.0276,NA,NA
19,"Normal",316976,0.3324,0.2595,6,0.0663,83,0.2595,6,0.0065
20,"Normal",146352,0.8931,0.8931,NA,NA,10,0.8931,NA,NA
21,"Normal",118334,0.5201,0.3042,NA,NA,32,0.3042,6,0.2158
22,"Normal",368183,0.2304,0.1516,NA,NA,14,0.1516,3,0.0788
23,"Normal",41762,0.5236,0.4656,NA,NA,14,0.4656,4,0.058
24,"Normal",120105,0.2233,0.1934,NA,NA,27,0.1934,7,0.0299
25,"Normal",372411,0.3846,0.3265,NA,NA,43,0.3265,5,0.058
