"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.5009,0.386,5,0.0656,37,0.386,2,0.0492
2,"Normal",233086,0.9742,0.9393,1,0.0339,12,0.9393,1,0.001
3,"Low",15594,0.9942,0.5111,1,0.5111,1,0.4831,NA,NA
4,"Normal",87299,0.9982,0.9048,1,0.0933,2,0.9048,NA,NA
5,"Normal",332783,0.8272,0.8272,NA,NA,2,0.8272,NA,NA
6,"Normal",485146,0.9331,0.9274,NA,NA,8,0.9274,1,0.0056
7,"Normal",1329984,0.9768,0.9627,NA,NA,3,0.9627,1,0.0141
8,"Normal",1743114,0.0754,0.0754,NA,NA,5,0.0754,NA,NA
9,"Normal",26986,0.6688,0.6351,NA,NA,8,0.6351,1,0.0337
10,"Low",150151,0.9818,0.9758,1,0.9758,1,0.006,NA,NA
11,"Normal",177601,0.8839,0.8839,NA,NA,4,0.8839,NA,NA
12,"Normal",190635,0.8012,0.7817,NA,NA,5,0.7817,4,0.0196
13,"High",107612,0.9429,0.908,NA,NA,1,0.0348,2,0.908
14,"High",360873,0.9607,0.8273,NA,NA,7,0.1333,1,0.8273
15,"High",313412,0.9221,0.9221,NA,NA,NA,NA,1,0.9221
16,"Normal",933312,0.3183,0.3183,NA,NA,4,0.3183,NA,NA
17,"Normal",691609,0.372,0.2263,NA,NA,5,0.2263,4,0.1457
18,"Normal",938210,0.1157,0.1028,NA,NA,4,0.1028,2,0.0129
19,"Normal",316976,0.3324,0.256,NA,NA,85,0.256,10,0.0764
20,"High",146352,0.8931,0.6388,NA,NA,8,0.2543,2,0.6388
21,"Normal",118334,0.5201,0.5201,NA,NA,38,0.5201,NA,NA
22,"Normal",368183,0.2304,0.2304,NA,NA,17,0.2304,NA,NA
23,"Normal",41762,0.5236,0.5236,NA,NA,18,0.5236,NA,NA
24,"Normal",120105,0.2233,0.2229,NA,NA,34,0.2229,1,4e-04
25,"Normal",372411,0.3676,0.3675,2,1e-04,52,0.3675,NA,NA
