"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.5009,0.4891,NA,NA,41,0.4891,3,0.0117
2,"Normal",233086,0.9742,0.9699,NA,NA,12,0.9699,2,0.0043
3,"Normal",15594,0.9942,0.9942,NA,NA,2,0.9942,NA,NA
4,"Normal",87299,0.9982,0.9982,NA,NA,3,0.9982,NA,NA
5,"Normal",332783,0.8272,0.8272,NA,NA,2,0.8272,NA,NA
6,"Normal",485146,0.9331,0.9331,NA,NA,9,0.9331,NA,NA
7,"Normal",1329984,0.9768,0.9238,NA,NA,3,0.9238,1,0.0531
8,"Normal",1743114,0.0746,0.0636,1,0.011,3,0.0636,NA,NA
9,"Normal",26986,0.6688,0.6688,NA,NA,9,0.6688,NA,NA
10,"Normal",150151,0.9818,0.9818,NA,NA,2,0.9818,NA,NA
11,"Normal",177601,0.8839,0.8839,NA,NA,4,0.8839,NA,NA
12,"Normal",190635,0.8012,0.7979,NA,NA,8,0.7979,1,0.0034
13,"Normal",107612,0.9429,0.9429,NA,NA,3,0.9429,NA,NA
14,"High",360873,0.9607,0.8317,NA,NA,6,0.129,2,0.8317
15,"Normal",313412,0.9281,0.9281,NA,NA,2,0.9281,NA,NA
16,"Normal",933312,0.1742,0.1742,NA,NA,3,0.1742,NA,NA
17,"Normal",691609,0.372,0.2997,NA,NA,8,0.2997,1,0.0723
18,"High",938210,0.0276,0.0237,NA,NA,1,0.0039,1,0.0237
19,"Normal",316976,0.3332,0.2304,NA,NA,80,0.2304,17,0.1028
20,"High",146352,0.8693,0.6675,NA,NA,7,0.2018,3,0.6675
21,"High",118334,0.5113,0.3032,NA,NA,29,0.2082,8,0.3032
22,"Normal",368183,0.2283,0.1923,NA,NA,14,0.1923,2,0.036
23,"Normal",41762,0.5236,0.4451,NA,NA,16,0.4451,2,0.0785
24,"High",120105,0.2249,0.1348,NA,NA,29,0.0901,7,0.1348
25,"Normal",372411,0.3676,0.3676,1,0,51,0.3676,2,0
